Route stop,Business,Address,Phone,Category,Owned website found,Search evidence
523,J&J Hawaiian Barbeque,"1170 Alma Street, 94025",(650) 323-6137,restaurant,https://www.ohanahawaiianbarbecue.com/Menu,"Best hawaiian near San Carlos, CA 94070 - YelpF1 - The Official Home of Formula 1® RacingOhana Hawaiian BBQNoelani's Island Grill - San Carlos, CAWILLIAM BBQ - Updated May 2026 - 195 Photos & 118 Reviews ...William BBQ (Hawaii Style) in San Carlos, CA 94070 - (650) 5...The Best 10 Hawaiian Restaurants near San Carlos, CA 94070 (yelp.com) | Ohana Hawaiian BBQ (ohanahawaiianbarbecue.com)"
544,San Luis Auto Glass,3017,(510) 927-1781,car_repair,https://www.matrixautoglass.com/1289584/Control-Module-For-Timecutter-2012-2014-Replaces-121-3017,"San Luis Auto Glass, Redwood City, CA - 3017 ... - WhereOrg (whereorg.com) | SAN LUIS AUTO GLASS - Updated April 2026 - 3017 Middlefield ...San Luis Auto Glass, 3017 Middlefield Rd, Redwood City, CA ...San Fernando, Californiawww.flyinglpoa.comRight Hair Color Mostly Your Thumb Upwardswww.matrixautoglass.com (yelp.com) | San Luis Auto Glass, 3017 Middlefield Rd, Redwood City, CA ... (mapquest.com) | www.matrixautoglass.com (matrixautoglass.com)"
556,La Tres Marias,"2505 Middlefield Road, Redwood City",(650) 260-2940,laundry,https://menu.ilovelastresmarias.com/,"Las Tres Marias, 2505 Middlefield Rd, Redwood City, CA 94063 ... (mapquest.com) | Las Tres Marias – Redwood City, 2505 Middlefield Rd (3 ...La Tres Marias Restaurant Map Location - Redwood City, CaliforniaLAS TRES MARIASLas Tres Marias Menu (Latest Full Update 2026)Las Tres Marias – Redwood City, 2505 Middlefield Rd (3 avis ... (unilocal.co.uk) | La Tres Marias Restaurant Map Location - Redwood City, California (latlong.net) | Las Tres Marias Menu (Latest Full Update 2026) (las-tres-marias.hey-restaurants.com) | Las Tres Marias – Redwood City, 2505 Middlefield Rd (3 avis ... (unilocal.fr)"
636,Primera Insurance Agency,3339 23rd Street,(415) 829-7312,insurance,https://insurance-center.ws/california/san-francisco-ca/primera-insurance-agency-inc.html,"Primera Insurance Agency LLC in San Francisco, CA - (415) 829 ... (buzzfile.com) | Primeras Insurance Agency LLC | BBB Business Profile | Better ...Primeras Insurance Agency - San Francisco, CAPrimera Insurance Agency Inc on 23rd St in San Francisco, CA ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyGoogle MapsPrimeras Insurance Agency - Overview, News & Similar ... (bbb.org) | Primeras Insurance Agency - San Francisco, CAPrimera Insurance Agency Inc on 23rd St in San Francisco, CA ...Auto Insurance in San Francisco, CA | Primeras Insurance AgencyGoogle MapsPrimeras Insurance Agency - Overview, News & Similar ... (yelp.com) | Primera Insurance Agency Inc on 23rd St in San Francisco, CA ... (insurance-center.ws)"
669,Of Barbers and Bears,"4137 1/2 24th Street, San Francisco",(510) 415-6098,hairdresser,https://www.imfadedbarbershop.com/,"BOONDOCKS BARBERSHOP - Updated April 2026 - 26 Photos & 67 ...Best 30 Barbers in San Carlos, CA with Reviews | The Real ...Reverse Phone Lookup | Identify Callers & Verify Numbers3 Best Barber Shops Near San Carlos, CA - 2026 BestProsInTownI'm Faded BarbershopBoondocks Barbershop - San Carlos CA | VagaroFree Reverse Phone Lookup & Search - USPhoneBook (yelp.com) | Best 30 Barbers in San Carlos, CA with Reviews | The Real ...Reverse Phone Lookup | Identify Callers & Verify Numbers3 Best Barber Shops Near San Carlos, CA - 2026 BestProsInTownI'm Faded BarbershopBoondocks Barbershop - San Carlos CA | VagaroFree Reverse Phone Lookup & Search - USPhoneBook (yellowpages.com) | Reverse Phone Lookup | Identify Callers & Verify Numbers3 Best Barber Shops Near San Carlos, CA - 2026 BestProsInTownI'm Faded BarbershopBoondocks Barbershop - San Carlos CA | VagaroFree Reverse Phone Lookup & Search - USPhoneBook (peoplefinders.com) | 3 Best Barber Shops Near San Carlos, CA - 2026 BestProsInTown (bestprosintown.com) | I'm Faded Barbershop (imfadedbarbershop.com)"
680,All Bay Properties,1313 24th Avenue,(415) 298-9888,estate_agent,https://alleastbayproperties.com/,"All Bay Properties Inc 1313 24th Ave, San Francisco, CA 94122 ... (superpages.com) | All Bay Properties Company Profile -Sales, Contacts ... (buzzfile.com) | All Bay Properties Inc | BBB Business Profile | Better ...All Bay Properties Inc. Office Profile | realty.comAll Bay Properties Inc, 2245 Irving St, San Francisco, CA ...All Bay Properties | BBB Business Profile | Better Business ...All East Bay Properties - Sales Leasing Property Management (bbb.org) | All Bay Properties Inc. Office Profile | realty.com (realty.com) | All Bay Properties Inc, 2245 Irving St, San Francisco, CA ... (mapquest.com)"
697,Carol Yee Insurance Agency,"1629 Irving Street, San Francisco, CA, 94122",(415) 661-1331,insurance,https://www.insuranceproviders.com/agents/yee-carol-yee-insurance-san-francisco/,"Carol Yee - Farmers Insurance Agent in San Francisco, CA (agents.farmers.com) | Farmers Insurance-Carol Yee Insurance Agency - San Francisco ... (yellowpages.com) | Farmers Insurance - Carol Yee in San Francisco, 1629 Irving ...Carol Yee Company Profile -Sales, Contacts, Competitors ...Carol Yee Insurance | San Francisco, CA - insuranceproviders.comYee Carol - Farmers Insurance in San Francisco, CA - YahooFarmers Insurance, 1629 Irving St, San Francisco, CA 94122 ... (localmint.com) | Carol Yee Company Profile -Sales, Contacts, Competitors ... (buzzfile.com) | Carol Yee Insurance | San Francisco, CA - insuranceproviders.com (insuranceproviders.com)"
704,Social Cleaning Laundromat,"1001 Irving Street, San Francisco, CA, 94122",(415) 287-7773,laundry,https://apluscleaningsf.com/,"SOCIAL CLEANING LAUNDROMAT - Updated May 2026 - Yelp (yelp.com) | Social Cleaning Laundromat - Official MapQuest (mapquest.com) | SOCIAL CLEANING LAUNDROMATS in San Francisco, CA | Company Info (bizapedia.com) | Social Cleaning (@socialcleaningsf) • Instagram photos and videos (instagram.com) | A Plus Cleaning San Francisco – Residencial & Commercial ... (apluscleaningsf.com)"
750,El Yucateco Bakery,2907 16th Street,(415) 655-3402,bakery,https://heavenlydelightsbakery.com/bakery-near-me/el-yucateco/,"EL YUCATECO BAKERY - Updated May 2026 - 60 Photos & 14 ... - YelpEl Yucateco in San Francisco, CA 94103 - 415-655...El Yucateco Bakery 2907 16th St, San Francisco, CA 94103 ...El Yucateco, San Francisco - Menu, Reviews (31), Photos (44 ...El Yucateco Bakery - San Francisco, CA 94103El Yucateco Bakery: Authentic Pan Dulce and Yucatecan ...El Yucateco Bakery, 2907 16th St, San Francisco, CA 94103, US ... (yelp.com) | El Yucateco in San Francisco, CA 94103 - 415-655... (chamberofcommerce.com) | El Yucateco Bakery 2907 16th St, San Francisco, CA 94103 ... (superpages.com) | El Yucateco, San Francisco - Menu, Reviews (31), Photos (44 ... (restaurantji.com) | El Yucateco Bakery - San Francisco, CA 94103 (yellowpages.com)"
751,Irma's Pampagna Restaurant,2901 16th Street,(415) 626-6688,restaurant,https://www.irmaspampangarestaurant.com/,Irma’s Pampanga Restaurant | Elegant Filipino Dining in San ... (irmaspampangarestaurant.com)
773,Maggie McGarrys,1353 Grant Avenue,(415) 399-9020,bar,https://maggiemcgarrys.com/,"(415) 399-9XXX San Francisco, CA Phone Book + (415) 399-9XXX... (callersmart.com) | Maggie McGarry's – San Francisco's premier destination for ... (maggiemcgarrys.com)"
808,Jinshan Cafe,781 Sacramento Street,(415) 466-8117,cafe,https://www.jinshancafe.com/s/store-locator,"JINSHAN CAFE - Updated May 2026 - 116 Photos & 32 Reviews ...JinShan Cafe, San Francisco - Menu, Reviews (33), Photos ...Jinshan Cafe — café in San FranciscoJinshan Cafe, 781 Sacramento St, San Francisco, CA 94108, US ...JinShan Cafe - San Francisco, CA | joe coffeeJinshan Cafe in San Francisco: photos, reviews | InTravel (yelp.com) | JinShan Cafe, San Francisco - Menu, Reviews (33), Photos ... (restaurantji.com) | Jinshan Cafe — café in San Francisco (findit.city) | Jinshan Cafe, 781 Sacramento St, San Francisco, CA 94108, US ... (mapquest.com) | JinShan Cafe - San Francisco, CA | joe coffee (joe.coffee)"
809,Sushi Boat Restaurant,700 Grant Avenue,(415) 872-9008,restaurant,https://www.sushiboat.com/,"Sushi Boat Restaurant: A Fresh Twist on Traditional Sushi in ... (sushi-boat-restaurant.res-menu.net) | Sushi Boat Restaurant - San Francisco, CASushi Boat: Delivery Sushi Reimagined for Social, Fast, and ...Floating Sushi Boat, San Francisco - Menu, Reviews (192 ...Sushi Boat Restaurant Menu in San Francisco, CA | Order ...Floating Sushi Boat in San Francisco, CA 94108 -Sushi Boat Restaurant, 700 Grant Ave, San Francisco, CA 94108 ... (yelp.com) | Sushi Boat: Delivery Sushi Reimagined for Social, Fast, and ... (sushiboat.com)"
811,Sutter Cafe,"330 Sutter Street, San Francisco, CA, 94108",(415) 434-3309,cafe,https://www.sutterhealth.org/,"SUTTER CAFE - Updated May 2026 - 33 Photos & 44 Reviews - 330 ...Sutter Cafe menu - San Francisco CA 94108 - (877) 585-1085Sutter Cafe Map - California, United StatesSutter Health | A Whole Team on Your Team | Northern and ...Sutter-Stockton Garage - SFMTASUTTER HEALTH; NPI #1265755615 - NPIdb.orgMBSR Sutter Health in San Carlos, CA 94070 - Chamber of Commerce (yelp.com) | Sutter Cafe menu - San Francisco CA 94108 - (877) 585-1085 (allmenus.com) | Sutter Cafe Map - California, United States (mapcarta.com) | Sutter Health | A Whole Team on Your Team | Northern and ... (sutterhealth.org)"
826,Pronto Pizza & Espresso,"798 Eddy Street, San Francisco",(415) 921-1999,restaurant,https://www.prontopizzaofsanfrancisco.com/,"Pronto Pizzeria - San Francisco, CA - 798 Eddy St - Hours ... (prontopizzaofsanfrancisco.com)"
852,Metropolitan,1018 Bush Street,(925) 293-6463,hairdresser,https://www.metropolitan-market.com/,"Executive - Metropolitan Water District of Southern California (mwdh2o.com) | METROPOLITAN BARBER SHOP - Updated April 2025 - Yelp (yelp.com) | Metropolitan barbershop SF, 1018 Bush Street, San Francisco ... (beautynailhairsalons.com) | 1018 Bush st San Francisco ca (@metropolitan_barbershop1 ... (instagram.com) | Metropolitan Barber Shop - Specialist in Beauty Services at ... (thebeautyloc.com)"
888,Xiao Yu's Kitchen,560 Balboa Street,(415) 742-4392,restaurant,https://www.xiaoyuskitchen.com/about/,XIAO YU’S KITCHEN - Updated May 2026 - 150 Photos & 84 ...XiaoYu`s Kitchen - Dinfo Express online orderXiaoYu‘s Kitchen｜Online Order｜San Francisco｜CASutter Health | A Whole Team on Your Team | Northern and ...Jana's TG List - tmapps.netTwitPic (yelp.com) | XiaoYu`s Kitchen - Dinfo Express online order (dinfo.me) | XiaoYu‘s Kitchen｜Online Order｜San Francisco｜CA (xiaoyuskitchen.com)
909,Beam Properties,1124 12th Avenue,(415) 729-7250,estate_agent,https://www.sfbeam.com/,"Beam Properties in San Francisco, CA | Transparency HOA™ (transparencyhoa.org) | Beam Properties, Inc. | San Francisco, California ... (keycrew.co) | Beam Properties - San Francisco - 1 Reviews - Property ... (checkbook.org) | Beam Properties - Crunchbase Company Profile & Funding (crunchbase.com) | Beam Properties | Bay Area Property Management & Real Estate (sfbeam.com)"
928,Thanh Thanh Café,2205 Clement Street,(415) 387-1759,cafe,https://www.thanhthanhcafesf.com/,Thanh Thanh Cafe - Vietnamese Restaurant｜Online Order｜San ... (thanhthanhcafesf.com)
933,Indian Clay Oven,2438 Clement Street,(415) 751-5000,restaurant,https://www.clayovenindiarestaurant.com/,India Clay Oven Restaurant & Bar (clayovenindiarestaurant.com)
946,Julie Nail Spa,"3604 Balboa Street, 94121",(415) 386-2355,beauty,https://juliesnailspa.com/,"JOLIE NAILS - Updated April 2026 - 30 Photos & 118 Reviews ...JOLIE NAIL SALON - San Francisco CA - Hours, Directions ...Jolie Nail Spa - San Francisco, CA - Beauty Salon in San ...Jolie Nail Salon Company Profile -Sales, Contacts ...Jolie Nails Spa - San Francisco, CA 94121 - The Real Yellow PagesJulie's Nail Spa (yelp.com) | JOLIE NAIL SALON - San Francisco CA - Hours, Directions ... (loc8nearme.com) | Jolie Nail Spa - San Francisco, CA - Beauty Salon in San ... (manta.com) | Jolie Nail Salon Company Profile -Sales, Contacts ... (buzzfile.com) | Jolie Nails Spa - San Francisco, CA 94121 - The Real Yellow Pages (yellowpages.com)"
994,Johnny’s Barber Shop,"190 Clarendon Road, Pacifica, CA, 94044",(650) 355-3261,hairdresser,https://www.barbershops.net/barbers/3329/johnnys-barber-shop/,"Johnny's Barber Shop in Pacifica, CA 94044 - 650-355... (chamberofcommerce.com) | Johnny's Barber Shop in Pacifica, CA (barbershops.net)"
